id;name;price;created_at;picture;state
1;Supervisor Berkshire;24124;2021-12-18T21:20:26;Flats Bedfordshire knowledge;SOLD_OUT
2;Bedfordshire Tuna;63865;2021-12-18T23:02:40;Director;NOT_AVAILABLE
3;York Guadeloupe proactive;26415;2021-12-18T05:33:19;portal Sausages;NOT_AVAILABLE
4;Games Granite Shirt;52185;2021-12-18T21:17:19;invoice;NOT_AVAILABLE
5;Pizza District intermediate;27787;2021-12-19T01:27:30;impactful Wall;AVAILABLE
6;Quality Directives;71182;2021-12-18T18:12:26;deposit Tools Corporate;SOLD_OUT
7;invoice;6788;2021-12-18T05:43:46;Toys Mississippi Hawaii;NOT_AVAILABLE
8;solution exuding Digitized;48093;2021-12-18T13:08:04;impactful context-sensitive;NOT_AVAILABLE
9;grid-enabled;83389;2021-12-18T22:47:22;budgetary withdrawal Computers;AVAILABLE
10;Supervisor Loan;46753;2021-12-18T08:00:31;compress;NOT_AVAILABLE
